Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Dwyane Wade,28,MIA,SG,5,5,42.0,12.4,22.0,0.564,3.0,7.4,0.405,9.4,14.6,0.644,0.632,5.4,8.0,0.675,1.2,4.4,5.6,6.8,1.6,1.6,5.2,3.2,33.2,2010
Carmelo Anthony,25,DEN,SF,6,6,42.3,10.7,23.0,0.464,1.0,3.2,0.316,9.7,19.8,0.487,0.486,8.3,9.5,0.877,2.3,6.2,8.5,3.3,2.0,0.5,3.5,4.3,30.7,2010
Kevin Durant,21,OKC,SF,82,82,39.5,9.7,20.3,0.476,1.6,4.3,0.365,8.1,16.1,0.506,0.514,9.2,10.2,0.9,1.3,6.3,7.6,2.8,1.4,1.0,3.3,2.1,30.1,2010
LeBron James,25,CLE,SF,76,76,39.0,10.1,20.1,0.503,1.7,5.1,0.333,8.4,15.0,0.56,0.545,7.8,10.2,0.767,0.9,6.4,7.3,8.6,1.6,1.0,3.4,1.6,29.7,2010
Kobe Bryant,31,LAL,SG,23,23,40.1,10.2,22.2,0.458,2.1,5.7,0.374,8.0,16.5,0.487,0.506,6.7,8.0,0.842,1.1,4.9,6.0,5.5,1.3,0.7,3.4,3.3,29.2,2010
LeBron James,25,CLE,SF,11,11,41.8,9.6,19.2,0.502,1.8,4.5,0.4,7.8,14.6,0.534,0.55,8.0,10.9,0.733,1.4,7.9,9.3,7.6,1.7,1.8,3.8,2.1,29.1,2010
Carmelo Anthony,25,DEN,SF,69,69,38.2,10.0,21.8,0.458,0.9,2.7,0.316,9.1,19.1,0.478,0.478,7.4,8.9,0.83,2.2,4.4,6.6,3.2,1.3,0.4,3.0,3.3,28.2,2010
Kobe Bryant,31,LAL,SG,73,73,38.8,9.8,21.5,0.456,1.4,4.1,0.329,8.5,17.4,0.487,0.488,6.0,7.4,0.811,1.1,4.3,5.4,5.0,1.5,0.3,3.2,2.6,27.0,2010
Derrick Rose,21,CHI,PG,5,5,42.4,11.4,25.0,0.456,0.4,1.2,0.333,11.0,23.8,0.462,0.464,3.6,4.4,0.818,0.8,2.6,3.4,7.2,0.8,0.0,2.6,1.6,26.8,2010
Dirk Nowitzki,31,DAL,PF,6,6,38.8,9.7,17.7,0.547,0.7,1.2,0.571,9.0,16.5,0.545,0.566,6.7,7.0,0.952,1.2,7.0,8.2,3.0,0.8,0.7,1.7,2.5,26.7,2010
Kevin Durant,22,OKC,SF,17,17,42.5,9.1,20.3,0.449,2.2,6.4,0.339,6.9,13.9,0.5,0.503,8.2,9.8,0.838,1.1,7.1,8.2,2.8,0.9,1.1,2.5,3.1,28.6,2011
Kevin Durant,22,OKC,SF,78,78,38.9,9.1,19.7,0.462,1.9,5.3,0.35,7.3,14.4,0.504,0.509,7.6,8.7,0.88,0.7,6.1,6.8,2.7,1.1,1.0,2.8,2.0,27.7,2011
Dirk Nowitzki,32,DAL,PF,21,21,39.3,9.1,18.9,0.485,1.1,2.4,0.46,8.0,16.5,0.488,0.514,8.3,8.9,0.941,0.6,7.6,8.1,2.5,0.6,0.6,3.1,2.2,27.7,2011
Derrick Rose,22,CHI,PG,16,16,40.6,9.3,23.5,0.396,1.6,6.3,0.248,7.8,17.2,0.451,0.43,6.9,8.4,0.828,1.3,3.1,4.3,7.7,1.4,0.7,3.7,2.1,27.1,2011
Dwight Howard,25,ORL,C,6,6,43.0,8.5,13.5,0.63,0.0,0.2,0.0,8.5,13.3,0.638,0.63,10.0,14.7,0.682,4.5,11.0,15.5,0.5,0.7,1.8,5.5,4.2,27.0,2011
LeBron James,26,MIA,SF,79,79,38.8,9.6,18.8,0.51,1.2,3.5,0.33,8.4,15.3,0.552,0.541,6.4,8.4,0.759,1.0,6.5,7.5,7.0,1.6,0.6,3.6,2.1,26.7,2011
Carmelo Anthony,26,NYK,SF,27,27,36.2,9.1,19.9,0.461,2.0,4.6,0.424,7.2,15.2,0.472,0.51,6.1,7.0,0.872,1.5,5.2,6.7,3.0,0.9,0.6,2.4,3.3,26.3,2011
Carmelo Anthony,26,NYK,SF,4,4,39.0,8.3,22.0,0.375,2.3,6.5,0.346,6.0,15.5,0.387,0.426,7.3,8.5,0.853,3.3,7.0,10.3,4.8,1.3,0.8,3.3,4.0,26.0,2011
Carmelo Anthony,26,2TM,SF,77,77,35.7,8.9,19.5,0.455,1.2,3.3,0.378,7.6,16.3,0.47,0.487,6.6,7.9,0.838,1.5,5.8,7.3,2.9,0.9,0.6,2.7,2.9,25.6,2011
Dwyane Wade,29,MIA,SG,76,76,37.1,9.1,18.2,0.5,0.8,2.7,0.306,8.3,15.5,0.534,0.523,6.5,8.6,0.758,1.6,4.8,6.4,4.6,1.5,1.1,3.1,2.6,25.5,2011
LeBron James,27,MIA,SF,23,23,42.7,10.9,21.8,0.5,1.0,3.7,0.259,10.0,18.1,0.549,0.522,7.5,10.2,0.739,2.3,7.4,9.7,5.6,1.9,0.7,3.5,2.0,30.3,2012
Kobe Bryant,33,LAL,SG,12,12,39.7,11.0,25.1,0.439,1.4,5.0,0.283,9.6,20.1,0.477,0.467,6.6,7.9,0.832,1.3,3.5,4.8,4.3,1.3,0.2,2.8,2.8,30.0,2012
Kevin Durant,23,OKC,SF,20,20,41.9,9.9,19.2,0.517,2.1,5.5,0.373,7.9,13.7,0.575,0.57,6.7,7.7,0.864,0.7,6.8,7.4,3.7,1.5,1.2,3.2,2.6,28.5,2012
Kevin Durant,23,OKC,SF,66,66,38.6,9.7,19.7,0.496,2.0,5.2,0.387,7.7,14.4,0.535,0.547,6.5,7.6,0.86,0.6,7.4,8.0,3.5,1.3,1.2,3.8,2.0,28.0,2012
Kobe Bryant,33,LAL,SG,58,58,38.5,9.9,23.0,0.43,1.5,4.9,0.303,8.4,18.1,0.464,0.462,6.6,7.8,0.845,1.1,4.3,5.4,4.6,1.2,0.3,3.5,1.8,27.9,2012
Carmelo Anthony,27,NYK,SF,5,5,40.8,10.4,24.8,0.419,0.8,3.6,0.222,9.6,21.2,0.453,0.435,6.2,8.2,0.756,2.6,5.6,8.2,2.2,1.2,0.2,2.8,4.2,27.8,2012
LeBron James,27,MIA,SF,62,62,37.5,10.0,18.9,0.531,0.9,2.4,0.362,9.1,16.5,0.556,0.554,6.2,8.1,0.771,1.5,6.4,7.9,6.2,1.9,0.8,3.4,1.5,27.1,2012
